Gene ID	Gene Name	SRR1028343	SRR1028346	SRR1028347	SRR1028344	SRR1028349	SRR1028348	SRR1028345
ENSG00000000003	TSPAN6	2909	6362	2277	2483	3286	4221	5446
ENSG00000000005	TNMD	33	73	12	53	29	26	45
ENSG00000000419	DPM1	1035	1726	1124	1060	2537	3113	1453
ENSG00000000457	SCYL3	339	641	195	244	255	318	549
ENSG00000000460	C1orf112	483	1208	571	522	881	1045	1116
ENSG00000000938	FGR	7	13	18	6	18	19	12
ENSG00000000971	CFH	91	87	13	20	36	51	85
ENSG00000001036	FUCA2	1648	3114	1291	1790	1304	1735	2757
ENSG00000001084	GCLC	1119	2425	1320	1088	2455	2999	1962
ENSG00000001167	NFYA	2443	4899	1764	1598	2113	2822	3977
ENSG00000001460	STPG1	343	644	360	355	344	437	588
ENSG00000001461	NIPAL3	627	933	599	479	602	786	853
ENSG00000001497	LAS1L	2319	4210	2305	2331	3157	4401	3942
ENSG00000001561	ENPP4	337	663	300	277	274	373	524
ENSG00000001617	SEMA3F	1062	1839	1231	782	1204	1702	1932
ENSG00000001626	CFTR	46	59	86	55	30	26	48
ENSG00000001629	ANKIB1	2442	5403	2182	1857	3006	3686	4590
ENSG00000001630	CYP51A1	213	349	119	127	188	290	380
ENSG00000001631	KRIT1	293	687	245	260	355	412	504
ENSG00000002016	RAD52	288	858	179	214	347	434	835
ENSG00000002079	MYH16	8	40	20	12	16	24	31
ENSG00000002330	BAD	486	468	263	312	283	393	433
ENSG00000002549	LAP3	1329	2956	1603	1390	2822	3607	2581
ENSG00000002586	CD99	4780	4768	3364	3620	2542	3573	4478
ENSG00000002587	HS3ST1	66	645	26	59	27	36	611
ENSG00000002726	AOC1	3	10	0	12	4	6	9
ENSG00000002745	WNT16	0	2	3	1	3	2	1
ENSG00000002746	HECW1	146	78	118	105	278	419	97
ENSG00000002822	MAD1L1	1008	1731	987	836	1345	1868	1707
ENSG00000002834	LASP1	6740	11807	6333	5829	9952	13377	11137
ENSG00000002919	SNX11	620	829	541	547	824	954	807
ENSG00000002933	TMEM176A	64	32	18	17	21	28	41
ENSG00000003056	M6PR	1858	3824	2082	1580	2843	3512	3549
ENSG00000003096	KLHL13	669	1039	640	423	723	889	856
ENSG00000003137	CYP26B1	1756	870	618	685	656	896	907
ENSG00000003147	ICA1	237	259	1017	235	1356	1700	192
ENSG00000003249	DBNDD1	1156	656	1830	1232	2581	3520	701
ENSG00000003393	ALS2	2152	4753	2114	1639	2786	3356	4185
ENSG00000003400	CASP10	208	405	149	260	195	229	382
ENSG00000003402	CFLAR	1109	1614	544	887	754	970	1470
ENSG00000003436	TFPI	959	4519	343	962	510	640	3626
ENSG00000003509	NDUFAF7	563	1198	885	569	993	1262	943
ENSG00000003756	RBM5	2730	5415	1033	2073	1824	2350	4826
ENSG00000003987	MTMR7	198	248	211	117	303	326	231
ENSG00000003989	SLC7A2	531	1420	2845	464	2381	2913	1124
ENSG00000004059	ARF5	3001	4209	2242	2884	2806	3651	4220
ENSG00000004139	SARM1	335	194	85	104	222	266	202
ENSG00000004142	POLDIP2	2716	4455	2353	2412	3681	4872	4057
ENSG00000004399	PLXND1	3147	11892	1771	2714	1662	2288	11615
ENSG00000004455	AK2	2063	4161	1771	1963	3229	4342	3694
ENSG00000004468	CD38	20	52	12	25	9	9	43
ENSG00000004478	FKBP4	3823	9181	9572	3730	17817	24029	8452
ENSG00000004487	KDM1A	10776	21897	9437	9099	12766	17040	18779
ENSG00000004534	RBM6	2989	6627	1873	2244	3592	4885	5963
ENSG00000004660	CAMKK1	241	338	246	245	451	595	325
ENSG00000004700	RECQL	1166	2539	1115	1053	1676	2036	2069
ENSG00000004766	VPS50	593	1036	436	423	598	702	929
ENSG00000004776	HSPB6	37	31	86	31	82	105	25
ENSG00000004777	ARHGAP33	1423	1551	742	834	925	1261	1542
ENSG00000004779	NDUFAB1	1544	2346	1860	1531	2924	3587	2112
ENSG00000004799	PDK4	778	487	295	262	110	113	395
ENSG00000004809	SLC22A16	0	0	1	0	5	7	0
ENSG00000004838	ZMYND10	49	26	4	19	18	14	24
ENSG00000004846	ABCB5	2	16	2	4	1	1	12
ENSG00000004848	ARX	0	1	1	1	6	9	1
ENSG00000004864	SLC25A13	2303	6100	2543	2444	4140	5350	5240
ENSG00000004866	ST7	450	719	320	376	557	766	598
ENSG00000004897	CDC27	3157	7123	2081	2421	3338	3814	5624
ENSG00000004939	SLC4A1	4	2	5	1	2	5	2
ENSG00000004948	CALCR	26	173	12	81	36	48	149
ENSG00000004961	HCCS	689	1162	696	677	1813	2281	1059
ENSG00000004975	DVL2	2424	4427	1690	1906	2007	2909	4377
ENSG00000005001	PRSS22	17	18	79	16	82	87	14
ENSG00000005007	UPF1	3540	6416	3797	2772	5643	7652	6131
ENSG00000005020	SKAP2	313	2565	187	408	259	339	2013
ENSG00000005022	SLC25A5	6319	11237	7495	6322	9970	12996	10350
ENSG00000005059	MCUB	188	220	217	141	500	624	228
ENSG00000005073	HOXA11	25	19	20	8	25	40	17
ENSG00000005075	POLR2J	374	583	204	379	455	642	563
ENSG00000005100	DHX33	2406	5427	2874	2200	4763	5815	4686
ENSG00000005102	MEOX1	77	344	4	33	2	0	320
ENSG00000005108	THSD7A	1157	760	265	415	131	142	614
ENSG00000005156	LIG3	2817	6273	3058	2383	3951	5188	5832
ENSG00000005175	RPAP3	1558	3608	1457	1436	2108	2597	2778
ENSG00000005187	ACSM3	86	140	226	78	94	129	109
ENSG00000005189	REXO5	238	335	251	176	229	265	320
ENSG00000005194	CIAPIN1	2344	3894	1806	2257	2821	3695	3424
ENSG00000005206	SPPL2B	959	1829	574	731	921	1237	1815
ENSG00000005238	FAM214B	674	958	384	440	470	670	952
ENSG00000005243	COPZ2	86	66	54	54	97	143	48
ENSG00000005249	PRKAR2B	1068	1571	1607	730	2715	3424	1247
ENSG00000005302	MSL3	762	1439	340	554	733	888	1246
